PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
RG Sharma,13,5,0.38461538461538464,2734
S Dhawan,42,24,0.5714285714285714,2734
SK Raina,34,33,0.9705882352941176,2734
UT Yadav,6,0,0.0,2734
V Kohli,5,2,0.4,2734
WU Tharanga,164,174,1.0609756097560976,2734
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
BB McCullum,22,28,1.2727272727272727,3299
LRPL Taylor,8,3,0.375,3299
MJ Guptill,79,66,0.8354430379746836,3299
TWM Latham,65,42,0.6461538461538462,3299
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
BP Nash,8,9,1.125,1039
CH Gayle,107,113,1.0560747663551402,1039
CS Baugh,8,5,0.625,1039
DBL Powell,1,0,0.0,1039
Fawad Alam,27,26,0.9629629629629629,1039
JE Taylor,6,3,0.5,1039
Kamran Akmal,9,24,2.6666666666666665,1039
Khurram Manzoor,93,69,0.7419354838709677,1039
Misbah-ul-Haq,7,7,1.0,1039
NO Miller,2,0,0.0,1039
RR Sarwan,64,55,0.859375,1039
S Chanderpaul,35,36,1.0285714285714285,1039
S Chattergoon,55,33,0.6,1039
Salman Butt,54,24,0.4444444444444444,1039
Shahid Afridi,7,4,0.5714285714285714,1039
Shoaib Malik,52,66,1.2692307692307692,1039
XM Marshall,22,26,1.1818181818181819,1039
Younis Khan,62,56,0.9032258064516129,1039
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
AM Rahane,10,5,0.5,3940
CJ Anderson,5,6,1.2,3940
JDS Neesham,47,57,1.2127659574468086,3940
KS Williamson,27,22,0.8148148148148148,3940
L Ronchi,4,1,0.25,3940
LRPL Taylor,58,44,0.7586206896551724,3940
MJ Guptill,22,27,1.2272727272727273,3940
MJ Henry,39,39,1.0,3940
MJ Santner,13,7,0.5384615384615384,3940
MK Pandey,36,28,0.7777777777777778,3940
MS Dhoni,95,80,0.8421052631578947,3940
RG Sharma,21,13,0.6190476190476191,3940
TA Boult,3,1,0.3333333333333333,3940
TG Southee,12,13,1.0833333333333333,3940
TWM Latham,75,61,0.8133333333333334,3940
V Kohli,135,154,1.1407407407407408,3940
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
AC Botha,2,0,0.0,470
D Langford-Smith,22,18,0.8181818181818182,470
DPMD Jayawardene,28,39,1.3928571428571428,470
DT Johnston,4,0,0.0,470
EJG Morgan,1,0,0.0,470
JP Bray,29,20,0.6896551724137931,470
KC Sangakkara,11,10,0.9090909090909091,470
KED Carroll,2,0,0.0,470
KJ O'Brien,5,2,0.4,470
NJ O'Brien,28,4,0.14285714285714285,470
ST Jayasuriya,22,24,1.0909090909090908,470
